UDI;Product ID;Type;Air temperature [K];Process temperature [K];Rotational speed [rpm]
91;L47270;L;298.9;308.9;1753
92;L47271;L;298.9;308.9;1830
93;M14952;M;298.9;308.9;1727
94;L47273;L;299.1;309;1450
95;L47274;L;299.0;308.9;1622
96;M14955;M;299.0;309;1351
97;M14956;M;299.0;309;1575
98;M14957;M;298.9;308.9;1750
99;L47278;L;298.9;308.8;1529
100;L47279;L;298.8;308.8;1523
101;L47280;L;298.8;308.9;1852
102;L47281;L;298.8;308.8;1991
103;L47282;L;298.8;308.8;1555
104;M14963;M;298.8;308.8;1441
105;L47284;L;298.8;308.7;1450
106;L47285;L;298.8;308.7;1591
107;L47286;L;298.8;308.7;1445
108;M14967;M;298.8;308.8;1497
109;H29522;H;298.9;308.8;1621
110;L47289;L;298.9;308.7;1572
111;L47290;L;298.8;308.6;1872
112;H29525;H;298.7;308.6;1499
113;M14972;M;298.8;308.7;1498
114;M14973;M;298.8;308.6;1486
115;L47294;L;298.8;308.6;1680
116;L47295;L;298.8;308.6;1431
117;L47296;L;298.9;308.7;1564
118;L47297;L;298.8;308.6;1599
119;M14978;M;298.8;308.6;1707
120;L47299;L;298.7;308.5;1467
121;L47300;L;298.9;308.7;1433
122;L47301;L;298.9;308.7;1558
123;L47302;L;299.0;308.8;1310
124;L47303;L;298.9;308.7;1546
125;L47304;L;298.9;308.7;1727
126;L47305;L;298.9;308.6;1560
127;L47306;L;299.0;308.6;1329
128;L47307;L;298.9;308.6;1413
129;L47308;L;299.0;308.6;1587
130;L47309;L;298.9;308.5;1559
131;L47310;L;298.8;308.4;1473
132;L47311;L;298.8;308.4;1737
133;M14992;M;298.7;308.4;1441
134;M14993;M;298.7;308.4;1430
135;L47314;L;298.8;308.4;1369
136;M14995;M;298.8;308.5;1711
137;H29550;H;298.7;308.5;1420
138;L47317;L;298.7;308.6;1297
139;H29552;H;298.8;308.6;1449
140;L47319;L;298.8;308.6;1268
141;L47320;L;298.8;308.6;1511
142;L47321;L;298.7;308.5;1544
143;M15002;M;298.6;308.4;1778
144;H29557;H;298.6;308.4;1407
145;M15004;M;298.6;308.4;1391
146;L47325;L;298.5;308.4;1513
147;H29560;H;298.5;308.4;1612
148;L47327;L;298.4;308.4;1515
149;M15008;M;298.3;308.3;1379
150;L47329;L;298.4;308.3;1473
151;L47330;L;298.4;308.3;1422
152;M15011;M;298.4;308.2;1463
153;M15012;M;298.4;308.2;1584
154;L47333;L;298.4;308.2;1850
155;L47334;L;298.4;308.2;1528
156;H29569;H;298.4;308.2;1987
157;M15016;M;298.4;308.1;1495
158;H29571;H;298.4;308.2;1478
159;M15018;M;298.4;308.2;1499
160;L47339;L;298.4;308.2;1471
161;L47340;L;298.4;308.2;1282
162;L47341;L;298.3;308.1;1412
163;L47342;L;298.3;308.1;1586
164;M15023;M;298.4;308.2;1468
165;M15024;M;298.5;308.3;1440
166;L47345;L;298.5;308.4;1733
167;H29580;H;298.4;308.2;1612
168;H29581;H;298.4;308.3;1458
169;L47348;L;298.4;308.3;1433
170;L47349;L;298.4;308.3;1318
171;M15030;M;298.4;308.2;1610
172;L47351;L;298.2;308.1;1462
173;M15032;M;298.1;308;1924
174;M15033;M;298.2;308;1591
175;L47354;L;298.2;308.1;1306
176;L47355;L;298.2;308.1;1382
177;L47356;L;298.2;308.1;1618
178;L47357;L;298.2;308.2;1988
179;L47358;L;298.2;308.2;1436
180;L47359;L;298.2;308.3;1304
181;L47360;L;298.2;308.3;1475
182;H29595;H;298.2;308.3;1824
183;M15042;M;298.1;308.2;1342
184;L47363;L;298.1;308.2;1485
185;L47364;L;298.2;308.2;1667
186;L47365;L;298.2;308.2;1446
187;L47366;L;298.1;308.3;1301
188;L47367;L;298.2;308.4;1379
189;L47368;L;298.3;308.5;1606
190;M15049;M;298.3;308.4;1539
191;L47370;L;298.2;308.4;1477
192;L47371;L;298.2;308.4;1666
193;H29606;H;298.2;308.4;1398
194;H29607;H;298.2;308.4;1678
195;M15054;M;298.2;308.5;2678
196;L47375;L;298.3;308.5;1453
197;H29610;H;298.3;308.6;1432
198;M15057;M;298.4;308.6;1527
199;L47378;L;298.4;308.7;1588
200;L47379;L;298.4;308.6;1433
201;L47380;L;298.4;308.6;1609
202;L47381;L;298.3;308.5;1575
203;M15062;M;298.4;308.5;1636
204;L47383;L;298.4;308.5;1490
205;L47384;L;298.4;308.5;1741
206;M15065;M;298.5;308.6;1344
207;L47386;L;298.5;308.7;1609
208;M15067;M;298.4;308.7;1421
209;L47388;L;298.4;308.6;1591
210;L47389;L;298.4;308.6;1477
211;L47390;L;298.4;308.7;1523
212;L47391;L;298.5;308.7;1575
213;H29626;H;298.4;308.7;1344
214;L47393;L;298.4;308.7;1386
215;M15074;M;298.3;308.6;1589
216;L47395;L;298.3;308.6;1548
217;L47396;L;298.3;308.6;1499
218;L47397;L;298.3;308.5;1664
219;L47398;L;298.3;308.6;1447
220;M15079;M;298.3;308.5;1434
221;L47400;L;298.3;308.5;1416
222;H29635;H;298.4;308.5;1827
223;L47402;L;298.4;308.6;1304
224;L47403;L;298.4;308.6;1569
225;L47404;L;298.3;308.6;1584
226;L47405;L;298.3;308.5;1362
227;L47406;L;298.3;308.4;1329
228;L47407;L;298.3;308.5;1539
229;M15088;M;298.3;308.5;1629
230;L47409;L;298.3;308.5;1538
231;L47410;L;298.3;308.6;1570
232;L47411;L;298.3;308.4;1408
233;L47412;L;298.2;308.4;1424
234;L47413;L;298.2;308.4;1512
235;L47414;L;298.2;308.4;1478
236;M15095;M;298.1;308.3;1680
237;L47416;L;298.1;308.3;1495
238;M15097;M;298.0;308.1;1552
239;L47418;L;297.9;308.1;1393
240;L47419;L;298.0;308.2;1611
241;M15100;M;298.0;308.1;1339
242;L47421;L;298.0;308.1;1777
243;L47422;L;298.0;308.2;1348
244;L47423;L;298.0;308.2;1442
245;M15104;M;298.0;308.2;1395
246;M15105;M;297.9;308.1;1627
247;L47426;L;297.9;308.1;1585
248;L47427;L;298.0;308.2;1469
249;L47428;L;298.0;308.3;1362
250;L47429;L;298.0;308.3;1405
251;L47430;L;298.0;308.3;1662
252;M15111;M;298.0;308.2;1466
253;L47432;L;298.0;308.2;1620
254;L47433;L;298.0;308.2;1357
255;L47434;L;298.0;308.2;1514
256;L47435;L;298.0;308.2;1489
257;L47436;L;298.1;308.3;1331
258;L47437;L;298.0;308;1615
259;L47438;L;298.1;308.2;1482
260;M15119;M;298.1;308.2;1420
261;M15120;M;298.2;308.3;1522
262;L47441;L;298.1;308.2;1654
263;M15122;M;298.1;308.2;1736
264;M15123;M;298.0;308.1;1587
265;L47444;L;298.1;308.2;1390
266;L47445;L;298.0;308.1;1454
267;H29680;H;298.0;308.1;1440
268;L47447;L;297.9;308;1954
269;H29682;H;297.9;308;1800
270;L47449;L;298.0;308;1524
271;H29684;H;298.0;308;1520
272;M15131;M;298.1;308.1;1452
273;L47452;L;298.1;308.1;1484
274;L47453;L;298.1;308;1426
275;L47454;L;298.1;308;1652
276;L47455;L;298.0;308;1401
277;M15136;M;298.0;307.9;1750
278;H29691;H;298.0;308;1479
279;M15138;M;298.0;308;1620
280;L47459;L;298.0;308.1;1819
281;M15140;M;298.1;308.1;1456
282;L47461;L;298.1;308;1626
283;M15142;M;298.1;308.1;1390
284;L47463;L;298.2;308.2;1469
285;L47464;L;298.2;308.3;2051
286;L47465;L;298.2;308.3;1568
287;L47466;L;298.2;308.3;1589
288;L47467;L;298.2;308.3;1805
289;H29702;H;298.2;308.4;1385
290;L47469;L;298.1;308.4;1436
291;L47470;L;298.1;308.4;1438
292;L47471;L;298.0;308.3;1473
293;L47472;L;298.1;308.4;1335
294;H29707;H;298.1;308.5;1392
295;M15154;M;298.1;308.5;1372
296;M15155;M;298.1;308.6;1716
297;L47476;L;298.0;308.5;1395
298;L47477;L;298.0;308.5;1713
299;H29712;H;297.9;308.5;2129
300;M15159;M;297.8;308.3;1567
301;L47480;L;297.8;308.4;1622
302;L47481;L;297.7;308.4;1740
303;H29716;H;297.8;308.4;1512
304;M15163;M;297.8;308.4;1479
305;L47484;L;297.8;308.4;1737
306;L47485;L;297.8;308.4;2129
307;L47486;L;297.8;308.4;1374
308;M15167;M;297.8;308.4;1579
309;L47488;L;297.9;308.5;1305
310;M15169;M;297.9;308.5;1449
311;H29724;H;298.0;308.6;1526
312;M15171;M;298.0;308.6;1453
313;L47492;L;297.9;308.6;1468
314;L47493;L;298.0;308.6;1313
315;M15174;M;297.9;308.5;1300
316;L47495;L;297.9;308.4;1646
317;L47496;L;297.8;308.4;1714
318;L47497;L;297.8;308.4;1685
319;L47498;L;297.8;308.4;1512
320;L47499;L;297.8;308.4;1612
321;H29734;H;297.8;308.4;1550
322;L47501;L;297.8;308.4;1518
323;L47502;L;297.8;308.5;1448
324;L47503;L;297.8;308.5;1561
325;M15184;M;297.8;308.5;1488
326;L47505;L;297.8;308.5;1699
327;L47506;L;297.7;308.5;1501
328;L47507;L;297.7;308.5;1373
329;H29742;H;297.6;308.4;1703
330;H29743;H;297.7;308.5;1720
331;M15190;M;297.6;308.4;1398
332;M15191;M;297.6;308.4;1391
333;M15192;M;297.6;308.3;1538
334;L47513;L;297.5;308.2;1647
335;M15194;M;297.5;308.1;1469
336;L47515;L;297.4;308.1;1749
337;M15196;M;297.6;308.2;1995
338;L47517;L;297.6;308.3;1742
339;L47518;L;297.5;308.2;1563
340;M15199;M;297.5;308.2;1713
341;L47520;L;297.4;308.1;1474
342;M15201;M;297.4;308.2;1530
343;L47522;L;297.4;308.2;1471
344;L47523;L;297.5;308.3;1388
345;M15204;M;297.5;308.2;2448
346;L47525;L;297.5;308.3;1585
347;M15206;M;297.5;308.3;1459
348;L47527;L;297.5;308.3;1544
349;L47528;L;297.6;308.3;1617
350;L47529;L;297.6;308.3;1595
351;H29764;H;297.6;308.3;1400
352;M15211;M;297.6;308.4;1611
353;M15212;M;297.6;308.4;1507
354;H29767;H;297.5;308.3;1674
355;L47534;L;297.6;308.3;1658
356;L47535;L;297.6;308.3;1623
357;M15216;M;297.6;308.4;1398
358;L47537;L;297.6;308.4;1517
359;M15218;M;297.6;308.3;1467
360;M15219;M;297.6;308.3;1567
361;M15220;M;297.5;308.3;1521
362;L47541;L;297.5;308.3;1596
363;H29776;H;297.6;308.3;1640
364;L47543;L;297.6;308.3;1438
365;L47544;L;297.6;308.4;1407
366;L47545;L;297.6;308.4;1353
367;M15226;M;297.6;308.5;1552
368;M15227;M;297.6;308.4;1569
369;L47548;L;297.5;308.4;1489
370;H29783;H;297.5;308.4;1587
371;M15230;M;297.5;308.3;1622
372;L47551;L;297.5;308.4;1604
373;M15232;M;297.4;308.3;1405
374;L47553;L;297.4;308.3;1412
375;L47554;L;297.4;308.3;1431
376;L47555;L;297.4;308.2;1533
377;M15236;M;297.4;308.2;1401
378;M15237;M;297.4;308.2;1424
379;L47558;L;297.3;308.2;1754
380;L47559;L;297.3;308.2;1754
381;L47560;L;297.5;308.3;2564
382;L47561;L;297.5;308.5;1546
383;L47562;L;297.5;308.5;1335
384;M15243;M;297.5;308.6;1842
385;L47564;L;297.5;308.5;1712
386;M15245;M;297.6;308.6;1414
387;L47566;L;297.6;308.7;1319
388;L47567;L;297.7;308.7;1249
389;L47568;L;297.6;308.7;1455
390;M15249;M;297.6;308.7;1408
391;L47570;L;297.6;308.7;1460
392;L47571;L;297.6;308.6;1491
393;M15252;M;297.6;308.5;1490
394;M15253;M;297.5;308.4;1350
395;L47574;L;297.5;308.4;1528
396;L47575;L;297.4;308.3;1571
397;L47576;L;297.4;308.3;1490
398;M15257;M;297.4;308.3;1774
399;H29812;H;297.4;308.3;1502
400;L47579;L;297.4;308.4;1392
401;L47580;L;297.4;308.5;2100
402;L47581;L;297.5;308.5;1722
403;L47582;L;297.4;308.6;1678
404;L47583;L;297.3;308.6;1273
405;L47584;L;297.3;308.6;1297
406;L47585;L;297.3;308.5;1350
407;L47586;L;297.4;308.6;1439
408;M15267;M;297.4;308.5;1600
409;M15268;M;297.4;308.6;1434
410;L47589;L;297.4;308.6;1459
411;M15270;M;297.5;308.6;1472
412;L47591;L;297.5;308.7;1429
413;L47592;L;297.5;308.6;1388
414;L47593;L;297.4;308.4;1573
415;L47594;L;297.4;308.4;1588
416;L47595;L;297.5;308.4;1511
417;L47596;L;297.4;308.5;1495
418;L47597;L;297.4;308.4;1394
419;L47598;L;297.4;308.4;2151
420;M15279;M;297.3;308.3;1501
421;M15280;M;297.3;308.3;1301
422;M15281;M;297.3;308.3;1657
423;L47602;L;297.3;308.3;1333
424;L47603;L;297.3;308.3;1484
425;L47604;L;297.3;308.4;1430
426;M15285;M;297.3;308.4;1665
427;L47606;L;297.4;308.5;1501
428;M15287;M;297.5;308.5;1496
429;M15288;M;297.6;308.6;1595
430;L47609;L;297.5;308.6;1208
431;L47610;L;297.5;308.6;1596
432;L47611;L;297.5;308.5;1446
433;M15292;M;297.6;308.5;1466
434;M15293;M;297.6;308.5;1848
435;M15294;M;297.5;308.5;1484
436;L47615;L;297.4;308.3;1493
437;L47616;L;297.3;308.3;1504
438;L47617;L;297.3;308.3;1538
439;L47618;L;297.4;308.4;1341
440;M15299;M;297.4;308.3;1535
441;L47620;L;297.4;308.5;1389
442;H29855;H;297.5;308.5;1393
443;L47622;L;297.4;308.5;1399
444;H29857;H;297.4;308.5;1469
445;L47624;L;297.4;308.4;1582
446;L47625;L;297.5;308.6;1793
447;L47626;L;297.5;308.6;1452
448;M15307;M;297.6;308.7;1376
449;L47628;L;297.5;308.6;1552
450;L47629;L;297.6;308.7;1622
451;M15310;M;297.6;308.7;1419
452;H29865;H;297.5;308.6;1440
453;M15312;M;297.4;308.6;1643
454;L47633;L;297.4;308.7;1510
455;L47634;L;297.4;308.7;1468
456;L47635;L;297.4;308.7;1429
457;H29870;H;297.3;308.7;1478
458;L47637;L;297.4;308.6;1276
459;L47638;L;297.3;308.6;1486
460;L47639;L;297.4;308.6;1476
461;H29874;H;297.3;308.6;1431
462;L47641;L;297.4;308.7;1402
463;L47642;L;297.4;308.7;1433
464;L47643;L;297.4;308.7;2874
465;L47644;L;297.3;308.6;1511
466;M15325;M;297.3;308.6;1456
467;L47646;L;297.2;308.5;1550
468;L47647;L;297.2;308.5;2182
469;L47648;L;297.3;308.7;1619
470;M15329;M;297.3;308.8;1586
471;H29884;H;297.3;308.8;1499
472;H29885;H;297.3;308.8;1419
473;M15332;M;297.4;309;1497
474;M15333;M;297.4;309;1520
475;L47654;L;297.4;309.1;1478
476;L47655;L;297.4;309.1;1380
477;L47656;L;297.4;309;1570
478;H29891;H;297.4;309;1468
479;L47658;L;297.4;309;1833
480;M15339;M;297.4;308.9;1323
481;L47660;L;297.4;309;1583
482;M15341;M;297.3;309;1556
483;L47662;L;297.3;309;1548
484;L47663;L;297.4;309;1324
485;L47664;L;297.4;309;1568
486;M15345;M;297.4;309;1685
487;M15346;M;297.4;309.1;1582
488;M15347;M;297.4;309.1;1463
489;L47668;L;297.4;309.2;1584
490;M15349;M;297.5;309.2;1347
491;L47670;L;297.4;309.2;1459
492;L47671;L;297.4;309.2;1420
493;L47672;L;297.5;309.3;1404
494;L47673;L;297.5;309.3;1470
495;L47674;L;297.6;309.4;1326
496;H29909;H;297.5;309.3;1459
497;M15356;M;297.5;309.2;1530
498;L47677;L;297.4;309;1505
499;L47678;L;297.5;309.1;1611
500;L47679;L;297.5;309.1;1515
501;M15360;M;297.5;309.2;1804
502;M15361;M;297.6;309.3;1464
503;L47682;L;297.6;309.2;1390
504;M15363;M;297.6;309.2;1442
505;M15364;M;297.6;309.3;1529
506;L47685;L;297.6;309.3;1610
507;L47686;L;297.6;309.3;1543
508;H29921;H;297.8;309.4;1445
509;L47688;L;297.7;309.3;1893
510;M15369;M;297.6;309.3;1415
511;L47690;L;297.5;309.3;1564
512;L47691;L;297.5;309.3;1479
513;L47692;L;297.5;309.2;1426
514;L47693;L;297.4;309.2;1428
515;L47694;L;297.4;309.2;1620
516;L47695;L;297.5;309.2;1715
517;L47696;L;297.5;309.3;1732
518;M15377;M;297.5;309.4;1391
519;L47698;L;297.6;309.5;1924
520;M15379;M;297.7;309.5;2027
521;L47700;L;297.6;309.5;1617
522;L47701;L;297.5;309.4;1497
523;M15382;M;297.5;309.5;1448
524;L47703;L;297.4;309.4;1401
525;L47704;L;297.4;309.4;1620
526;L47705;L;297.4;309.4;1466
527;L47706;L;297.6;309.5;1373
528;M15387;M;297.6;309.6;1592
529;M15388;M;297.5;309.5;1553
530;L47709;L;297.6;309.5;1569
531;M15390;M;297.6;309.5;1709
532;L47711;L;297.6;309.5;1549
533;L47712;L;297.5;309.4;1443
534;L47713;L;297.5;309.3;1675
535;L47714;L;297.5;309.3;1623
536;H29949;H;297.4;309.3;1365
537;L47716;L;297.4;309.3;1759
538;H29951;H;297.4;309.3;1516
539;M15398;M;297.4;309.3;1499
540;M15399;M;297.4;309.3;1775
541;L47720;L;297.4;309.4;1473
542;L47721;L;297.4;309.4;1296
543;L47722;L;297.5;309.4;1803
544;H29957;H;297.5;309.3;1563
545;M15404;M;297.5;309.4;1831
546;L47725;L;297.6;309.4;1958
547;L47726;L;297.5;309.4;1809
548;M15407;M;297.5;309.4;1482
549;L47728;L;297.4;309.3;1332
550;L47729;L;297.4;309.2;1437
551;L47730;L;297.4;309.2;1698
552;L47731;L;297.4;309.2;1274
553;M15412;M;297.4;309.3;1622
554;M15413;M;297.4;309.3;1564
555;H29968;H;297.5;309.4;1368
556;M15415;M;297.4;309.4;1539
557;L47736;L;297.5;309.4;1357
558;M15417;M;297.5;309.4;1433
559;L47738;L;297.5;309.4;1650
560;L47739;L;297.5;309.4;1503
561;L47740;L;297.5;309.4;1318
562;M15421;M;297.5;309.4;1678
563;L47742;L;297.6;309.5;1574
564;L47743;L;297.7;309.6;1529
565;H29978;H;297.6;309.6;1669
566;H29979;H;297.7;309.7;1570
567;M15426;M;297.6;309.7;1541
568;M15427;M;297.7;309.7;1680
569;L47748;L;297.8;309.7;1935
570;M15429;M;297.7;309.6;1596
571;L47750;L;297.7;309.7;1498
572;M15431;M;297.8;309.8;1676
573;L47752;L;297.8;309.9;1351
574;L47753;L;297.9;309.9;1472
575;M15434;M;297.9;310;1439
576;M15435;M;297.9;309.9;1410
577;H29990;H;297.7;309.7;1440
578;L47757;L;297.7;309.7;1591
579;L47758;L;297.8;309.8;1533
580;M15439;M;297.8;309.7;1700
581;M15440;M;297.8;309.8;1798
582;L47761;L;297.8;309.7;1394
583;L47762;L;297.8;309.7;1341
584;H29997;H;297.7;309.6;1697
585;H29998;H;297.6;309.6;1419
586;L47765;L;297.6;309.5;2001
587;L47766;L;297.6;309.6;1501
588;H30001;H;297.6;309.5;1623
589;L47768;L;297.6;309.4;1628
590;L47769;L;297.6;309.4;1491
591;L47770;L;297.5;309.4;1517
592;H30005;H;297.5;309.3;1525
593;H30006;H;297.5;309.5;1668
594;L47773;L;297.5;309.6;1312
595;H30008;H;297.6;309.6;1278
596;M15455;M;297.6;309.6;1330
597;M15456;M;297.6;309.6;1530
598;H30011;H;297.6;309.6;1428
599;L47778;L;297.7;309.6;1480
600;H30013;H;297.7;309.7;1616
601;L47780;L;297.8;309.7;1547
602;L47781;L;297.9;309.7;2194
603;L47782;L;297.9;309.8;2000
604;L47783;L;297.9;309.8;1336
605;L47784;L;297.9;309.9;1542
606;M15465;M;297.9;309.8;1693
607;L47786;L;297.9;309.8;1461
608;M15467;M;298.0;309.9;1565
609;L47788;L;298.0;309.9;1403
610;L47789;L;298.1;309.9;1629
611;L47790;L;298.1;310;1534
612;L47791;L;298.1;310;1553
613;L47792;L;298.1;309.9;1563
614;L47793;L;298.1;309.9;1634
615;M15474;M;298.0;309.9;1445
616;L47795;L;298.1;309.9;1642
617;H30030;H;298.1;309.9;1686
618;M15477;M;298.1;310;1393
619;H30032;H;298.2;310;1433
620;L47799;L;298.3;310;1507
621;M15480;M;298.3;310.1;1389
622;L47801;L;298.3;310.1;1408
623;M15482;M;298.4;310.2;1725
624;L47803;L;298.4;310.1;1926
625;H30038;H;298.3;310.1;1509
626;L47805;L;298.3;310.1;1545
627;L47806;L;298.4;310.1;1533
628;L47807;L;298.4;310.1;1455
629;M15488;M;298.4;310.1;1335
630;L47809;L;298.3;310.1;1523
631;L47810;L;298.3;310;1460
632;L47811;L;298.4;310;1554
633;H30046;H;298.3;310;1419
634;L47813;L;298.3;310;1442
635;L47814;L;298.3;309.9;1507
636;L47815;L;298.3;310;1858
637;L47816;L;298.3;309.9;1463
638;L47817;L;298.2;309.7;1585
639;L47818;L;298.0;309.6;1536
640;L47819;L;298.0;309.6;1403
641;M15500;M;297.9;309.6;1515
642;L47821;L;297.9;309.5;1390
643;M15502;M;297.8;309.4;1226
644;M15503;M;297.8;309.4;1495
645;H30058;H;297.7;309.4;1608
646;L47825;L;297.7;309.4;1392
647;M15506;M;297.7;309.4;1461
648;L47827;L;297.7;309.3;1559
649;H30062;H;297.7;309.3;1400
650;M15509;M;297.7;309.2;1732
651;L47830;L;297.6;309.2;1611
652;L47831;L;297.6;309.1;1503
653;L47832;L;297.7;309.2;1391
654;L47833;L;297.8;309.3;2015
655;L47834;L;297.8;309.2;1683
656;L47835;L;297.7;309.1;1435
657;M15516;M;297.7;309.1;1732
658;L47837;L;297.7;309.2;1365
659;L47838;L;297.7;309.1;1562
660;L47839;L;297.6;309.1;1449
661;M15520;M;297.7;309.2;1700
662;M15521;M;297.6;309;1427
663;M15522;M;297.6;308.9;1479
664;L47843;L;297.5;308.9;1469
665;L47844;L;297.5;308.9;1390
666;L47845;L;297.5;308.9;1729
667;L47846;L;297.5;309;1470
668;L47847;L;297.5;308.9;1459
669;L47848;L;297.5;308.9;1738
670;H30083;H;297.5;308.9;1471
671;L47850;L;297.6;309;1822
672;L47851;L;297.5;308.9;1554
673;M15532;M;297.6;308.9;1433
674;L47853;L;297.6;308.9;1449
675;L47854;L;297.8;309;1456
676;M15535;M;297.8;309.1;1424
677;H30090;H;297.9;309.2;1577
678;L47857;L;297.9;309.2;1478
679;M15538;M;297.8;309.2;1295
680;L47859;L;297.8;309.2;1372
681;M15540;M;297.8;309.1;1432
682;M15541;M;297.7;309;1656
683;H30096;H;297.8;309;1410
684;L47863;L;297.7;309;1874
685;L47864;L;297.7;309;1538
686;M15545;M;297.7;309;1636
687;M15546;M;297.7;309;1504
688;M15547;M;297.7;309;1531
689;H30102;H;297.6;309;1735
690;H30103;H;297.6;309;1354
691;H30104;H;297.6;309;1413
692;L47871;L;297.7;309.1;1563
693;L47872;L;297.7;309.1;1479
694;L47873;L;297.7;309.1;1477
695;L47874;L;297.6;309.1;1394
696;L47875;L;297.6;309;1487
697;M15556;M;297.6;309;1815
698;M15557;M;297.6;308.8;1453
699;L47878;L;297.6;308.8;1539
700;H30113;H;297.5;308.7;1416
701;M15560;M;297.6;308.8;1683
702;L47881;L;297.7;308.8;1515
703;M15562;M;297.7;308.9;1531
704;H30117;H;297.7;308.9;1479
705;L47884;L;297.7;308.9;1516
706;L47885;L;297.7;309;1507
707;M15566;M;297.8;309;1434
708;L47887;L;297.7;308.9;1838
709;M15568;M;297.6;308.8;1416
710;M15569;M;297.6;308.8;1357
711;M15570;M;297.5;308.7;1697
712;L47891;L;297.5;308.7;1443
713;L47892;L;297.5;308.7;1453
714;L47893;L;297.4;308.6;1439
715;L47894;L;297.4;308.6;1609
716;L47895;L;297.4;308.6;1324
717;H30130;H;297.4;308.6;1420
718;L47897;L;297.4;308.7;1545
719;L47898;L;297.5;308.8;1477
720;L47899;L;297.4;308.8;1447
721;L47900;L;297.4;308.9;1809
722;L47901;L;297.5;308.9;1696
723;L47902;L;297.5;308.9;1427
724;M15583;M;297.4;308.9;1500
725;L47904;L;297.5;308.9;1390
726;L47905;L;297.4;308.8;1640
727;M15586;M;297.4;308.8;1628
728;H30141;H;297.3;308.6;1499
729;M15588;M;297.4;308.7;1425
730;L47909;L;297.3;308.6;1586
731;M15590;M;297.3;308.6;1471
732;M15591;M;297.3;308.6;1431
733;L47912;L;297.2;308.6;1924
734;M15593;M;297.1;308.4;1421
735;H30148;H;297.0;308.4;1305
736;L47915;L;296.9;308.4;1557
737;L47916;L;296.9;308.3;1555
738;H30151;H;296.9;308.3;1474
739;L47918;L;296.8;308.3;1506
740;L47919;L;296.9;308.4;1390
