Kingdom,DNAtype,SpeciesID,Ncodons,SpeciesName,,,,,,,
vrl,0,10527,16211,Human adenovirus type 9,,,,,,,
vrl,0,10528,1345,Human adenovirus type 18,,,,,,,
vrl,0,10529,2780,Human adenovirus type 31,,,,,,,
vrl,0,10530,7494,Murine adenovirus 1,,,,,,,
vrl,0,10532,10444,Simian adenovirus 7,,,,,,,
vrl,0,10533,14628,Human adenovirus 1,,,,,,,
vrl,0,10534,3067,Human adenovirus 6,,,,,,,
vrl,0,10547,8292,Fowl adenovirus 10,,,,,,,
vrl,0,10548,14772,Human adenovirus type 34,,,,,,,
vrl,0,105502,3872,Human rotavirus G1P6,,,,,,,
vrl,0,105503,1232,Human rotavirus G1P8,,,,,,,
vrl,0,105506,1584,Human rotavirus G2P4,,,,,,,
vrl,0,10553,24531,Fowl adenovirus 1,,,,,,,
vrl,0,10559,2625,Bovine papillomavirus type 1,,,,,,,
vrl,0,10560,3493,Bovine papillomavirus type 2,,,,,,,
vrl,0,10561,5451,Bovine papillomavirus - 3,,,,,,,
vrl,0,10563,2447,Bovine papillomavirus - 6,,,,,,,
vrl,0,10564,2722,Deer papillomavirus,,,,,,,
vrl,0,10565,2730,European elk papillomavirus,,,,,,,
vrl,0,10566,15139,Human papillomavirus,,,,,,,
vrl,0,10567,2640,Mastomys natalensis papillomavirus,,,,,,,
vrl,0,10568,2456,Old World harvest mouse papillomavirus,,,,,,,
vrl,0,10569,2538,Reindeer papillomavirus,,,,,,,
vrl,0,10570,2356,Rhesus monkey papillomavirus - 1,,,,,,,
vrl,0,10573,4909,Human papillomavirus type 13,,,,,,,
vrl,0,10574,4280,Monkey B-lymphotropic papovavirus,,,,,,,
vrl,0,10576,2448,Pygmy chimpanzee papillomavirus type 1,,,,,,,
vrl,0,10580,1977,Human papillomavirus type 11,,,,,,,
vrl,0,10583,1316,Human papillomavirus type 1a,,,,,,,
vrl,0,10585,5330,Human papillomavirus type 31,,,,,,,
vrl,0,10586,2291,Human papillomavirus type 33,,,,,,,
vrl,0,10587,3304,Human papillomavirus type 35,,,,,,,
vrl,0,10588,2338,Human papillomavirus type 39,,,,,,,
vrl,0,10589,2823,Human papillomavirus type 41,,,,,,,
vrl,0,10591,3271,Human papillomavirus type 43,,,,,,,
vrl,0,10592,2384,Human papillomavirus type 44,,,,,,,
vrl,0,10593,3623,Human papillomavirus type 45,,,,,,,
vrl,0,10594,2944,Human papillomavirus type 47,,,,,,,
vrl,0,10596,1513,Human papillomavirus type 56,,,,,,,
vrl,0,10598,8658,Human papillomavirus type 58,,,,,,,
vrl,0,10599,2802,Human papillomavirus type 5b,,,,,,,
vrl,0,10600,2505,Human papillomavirus type 6b,,,,,,,
vrl,0,10604,2599,Human papillomavirus type 12,,,,,,,
vrl,0,10606,2360,Human papillomavirus type 15,,,,,,,
vrl,0,10607,2430,Human papillomavirus type 17,,,,,,,
vrl,0,10608,2366,Human papillomavirus type 19,,,,,,,
vrl,0,10609,2611,Human papillomavirus type 25,,,,,,,
vrl,0,10611,2340,Human papillomavirus type 30,,,,,,,
vrl,0,106118,3914,Potato rough dwarf virus,,,,,,,
vrl,0,10614,2954,Human papillomavirus type 3,,,,,,,
vrl,0,10615,2356,Human papillomavirus type 40,,,,,,,
vrl,0,10616,2470,Human papillomavirus type 49,,,,,,,
vrl,0,10617,2562,Human papillomavirus type 4,,,,,,,
vrl,0,10618,3996,Human papillomavirus type 52,,,,,,,
vrl,0,10620,2194,Human papillomavirus type 7,,,,,,,
vrl,0,10621,2591,Human papillomavirus type 9,,,,,,,
vrl,0,10623,6944,Cottontail rabbit papillomavirus,,,,,,,
vrl,0,10625,5382,Budgerigar fledgling disease polyomavirus,,,,,,,
vrl,0,10626,4538,Hamster polyomavirus,,,,,,,
vrl,0,10627,1830,Bovine polyomavirus,,,,,,,
vrl,0,10629,286391,BK polyomavirus,,,,,,,
vrl,0,10632,873909,JC polyomavirus,,,,,,,
vrl,0,10633,43011,Simian virus 40,,,,,,,
vrl,0,106330,1779,Human rotavirus B strain CAL,,,,,,,
vrl,0,106331,34995,Callitrichine herpesvirus 3,,,,,,,
vrl,0,106332,6396,Cercopithecine herpesvirus 12,,,,,,,
vrl,0,106333,8461,Porcine enteric sapovirus,,,,,,,
vrl,0,10634,5007,Murine polyomavirus,,,,,,,
vrl,0,10636,2313,Murine polyomavirus strain A2,,,,,,,
vrl,0,10640,5476,Carnation etched ring virus,,,,,,,
vrl,0,10650,2814,Figwort mosaic virus,,,,,,,
vrl,0,10651,2648,Soybean chlorotic mottle virus,,,,,,,
vrl,0,106518,1463,Rice virus X,,,,,,,
vrl,0,10653,2224,Commelina yellow mottle virus,,,,,,,
vrl,0,10655,19408,Rice tungro bacilliform virus,,,,,,,
vrl,0,106607,2175,Bovine enterovirus strain K2577,,,,,,,
vrl,0,106608,2175,Bovine enterovirus strain SL305,,,,,,,
vrl,0,106820,1639,Hepatitis B virus subtype ADR,,,,,,,
vrl,0,106821,2340537,Hepatitis B virus,,,,,,,
vrl,0,106962,6566,Cryphonectria hypovirus 3,,,,,,,
vrl,0,106967,2172,Porcine enterovirus 10,,,,,,,
vrl,0,107324,2054,Tobacco vein clearing virus,,,,,,,
vrl,0,107462,13576,Human adenovirus type 50,,,,,,,
vrl,0,107804,1939,Sorghum chlorotic spot virus,,,,,,,
vrl,0,10784,2152,Bovine parvovirus,,,,,,,
vrl,0,10787,39224,Feline panleukopenia virus,,,,,,,
vrl,0,10793,1392,Mink enteritis virus strain Abashiri,,,,,,,
vrl,0,10794,9237,Minute virus of mice,,,,,,,
vrl,0,10798,130194,Human parvovirus B19,,,,,,,
vrl,0,10799,2340,H-1 parvovirus,,,,,,,
vrl,0,10804,6114,Adeno-associated virus - 2,,,,,,,
vrl,0,10809,1554,Bombyx mori densovirus,,,,,,,
vrl,0,108098,37664,Human adenovirus B,,,,,,,
vrl,0,10816,1491,Abutilon mosaic virus,,,,,,,
vrl,0,10817,10282,African cassava mosaic virus,,,,,,,
vrl,0,10824,49388,Maize streak virus,,,,,,,
vrl,0,10829,7310,Squash leaf curl virus,,,,,,,
vrl,0,10834,5231,Wheat dwarf virus,,,,,,,
vrl,0,10838,1428,Bean dwarf mosaic virus,,,,,,,
vrl,0,10884,17904,Mammalian orthoreovirus 1,,,,,,,
vrl,0,10885,19569,Mammalian orthoreovirus 2,,,,,,,
vrl,0,10886,33703,Mammalian orthoreovirus 3,,,,,,,
vrl,0,10891,28537,Reovirus sp.,,,,,,,
vrl,0,10893,1019,Broadhaven virus,,,,,,,
vrl,0,10903,10431,Bluetongue virus 17,,,,,,,
vrl,0,10906,1484,Bluetongue virus 10,,,,,,,
vrl,0,10917,1089,Porcine rotavirus strain Gottfried,,,,,,,
vrl,0,10922,11372,Simian rotavirus,,,,,,,
vrl,0,10923,7077,Simian rotavirus A/SA11,,,,,,,
vrl,0,109270,3281,Equine foamy virus,,,,,,,
vrl,0,10941,193885,Human rotavirus A,,,,,,,
vrl,0,10942,12211,Human rotavirus B,,,,,,,
vrl,0,10943,35814,Human rotavirus C,,,,,,,
vrl,0,10964,2303,Rabbit rotavirus,,,,,,,
vrl,0,10967,9645,Porcine rotavirus A,,,,,,,
vrl,0,10968,5486,Porcine group C rotavirus,,,,,,,
vrl,0,10969,5952,Rhesus rotavirus,,,,,,,
vrl,0,10970,26713,Rotavirus sp.,,,,,,,
vrl,0,10971,1915,Rotavirus subgroup 2,,,,,,,
vrl,0,10978,1427,Rotavirus subgroup 1,,,,,,,
vrl,0,10986,19881,Rice gall dwarf virus,,,,,,,
vrl,0,10990,33872,Rice black streaked dwarf virus,,,,,,,
vrl,0,109981,5506,Diachasmimorpha longicaudata entomopoxvirus,,,,,,,
vrl,0,109993,9368,Porcine cytomegalovirus,,,,,,,
vrl,0,11005,66454,Infectious pancreatic necrosis virus,,,,,,,
vrl,0,11008,3600,Saccharomyces cerevisiae virus L-A,,,,,,,
vrl,0,110195,79005,Foot-and-mouth disease virus - type Asia 1,,,,,,,
vrl,0,11020,4273,Barmah Forest virus,,,,,,,
vrl,0,11023,1259,Middelburg virus,,,,,,,
vrl,0,11024,1237,Highlands J virus,,,,,,,
vrl,0,11029,8697,Ross River virus,,,,,,,
vrl,0,11033,37236,Semliki forest virus,,,,,,,
vrl,0,11039,14837,Western equine encephalomyelitis virus,,,,,,,
vrl,0,11048,10313,Lactate dehydrogenase-elevating virus,,,,,,,
vrl,0,11049,3602,Lelystad virus,,,,,,,
vrl,0,11076,183045,Japanese encephalitis virus,,,,,,,
vrl,0,11078,10302,Kunjin virus,,,,,,,
vrl,0,11079,3435,Murray Valley encephalitis virus,,,,,,,
vrl,0,11081,10292,St. Louis encephalitis virus,,,,,,,
vrl,0,11082,463500,West Nile virus,,,,,,,
vrl,0,110829,16372,Bombyx mori cypovirus 1,,,,,,,
vrl,0,11083,3416,Powassan virus,,,,,,,
vrl,0,11093,3342,Flavivirus sp.,,,,,,,
vrl,0,110944,5740,Stork hepatitis B virus,,,,,,,
vrl,0,11096,97849,Classical swine fever virus,,,,,,,
vrl,0,11098,3899,Classical swine fever virus - Brescia,,,,,,,
vrl,0,11099,49172,Bovine viral diarrhea virus 1,,,,,,,
vrl,0,11100,3989,Bovine viral diarrhea virus 1-NADL,,,,,,,
vrl,0,11137,61473,Human coronavirus 229E,,,,,,,
vrl,0,111418,7172,Zucchini green mottle mosaic virus,,,,,,,
vrl,0,111469,3100,Retroperitoneal fibromatosis-associated herpesvirus,,,,,,,
vrl,0,11149,59114,Transmissible gastroenteritis virus,,,,,,,
vrl,0,11156,4501,Berne virus,,,,,,,
vrl,0,111610,2707,Human rotavirus G8,,,,,,,
vrl,0,11168,9186,Mumps virus strain Jeryl Lynn,,,,,,,
vrl,0,111792,13018,Infectious hypodermal and hematopoietic necrosis virus,,,,,,,
vrl,0,111874,25170,Neodiprion sertifer NPV,,,,,,,
vrl,0,111970,11133,Kyuri green mottle mosaic virus,,,,,,,
vrl,0,11214,21723,Human parainfluenza virus 2,,,,,,,
vrl,0,11215,14124,Bovine parainfluenza virus 3,,,,,,,
vrl,0,11216,30503,Human parainfluenza virus 3,,,,,,,
vrl,0,112227,2609,Cactus virus X,,,,,,,
vrl,0,112228,2193,Hydrangea ringspot virus,,,,,,,
vrl,0,112229,74818,Pepino mosaic virus,,,,,,,
vrl,0,11225,2683,Human parainfluenza virus 4a,,,,,,,
vrl,0,11227,2684,Human parainfluenza virus 4b,,,,,,,
vrl,0,11228,8178,Simian virus 41,,,,,,,
vrl,0,11229,2124,Morbillivirus,,,,,,,
vrl,0,11233,135526,Canine distemper virus,,,,,,,
vrl,0,11240,10173,Phocine distemper virus,,,,,,,
vrl,0,112437,3024,Oat necrotic mottle virus,,,,,,,
vrl,0,11247,9011,Bovine respiratory syncytial virus ATCC51908,,,,,,,
vrl,0,11263,4564,Murine pneumonia virus,,,,,,,
vrl,0,11264,4697,Turkey rhinotracheitis virus,,,,,,,
vrl,0,11269,35336,Lake Victoria marburgvirus,,,,,,,
vrl,0,11273,8584,Chandipura virus,,,,,,,
vrl,0,11274,1416,Piry virus,,,,,,,
vrl,0,11275,33366,Spring viremia of carp virus,,,,,,,
vrl,0,11280,11914,Vesicular stomatitis New Jersey virus,,,,,,,
vrl,0,11285,44208,Vesicular stomatitis virus,,,,,,,
vrl,0,11289,91600,Viral hemorrhagic septicemia virus,,,,,,,
vrl,0,11291,41320,Infectious hematopoietic necrosis virus,,,,,,,
vrl,0,11301,3029,Sigma virus,,,,,,,
vrl,0,11303,18030,Bovine ephemeral fever virus,,,,,,,
vrl,0,11307,8677,Sonchus yellow net virus,,,,,,,
vrl,0,11313,1280,Fowl plague virus,,,,,,,
vrl,0,11319,1988,Dhori virus,,,,,,,
vrl,0,113194,3182,Orangutan hepadnavirus,,,,,,,
vrl,0,113368,1305,Heliothis virescens ascovirus 3c,,,,,,,
vrl,0,113370,39095,Spodoptera frugiperda ascovirus 1a,,,,,,,
vrl,0,113374,7823,Spodoptera frugiperda ascovirus 1,,,,,,,
vrl,0,113553,2390,Poinsettia mosaic virus,,,,,,,
vrl,0,114102,8073,Frog adenovirus 1,,,,,,,
vrl,0,114183,4214,Endogenous mouse mammary tumor virus Mtv1,,,,,,,
vrl,0,114429,5106,Bovine adenovirus 2,,,,,,,
vrl,0,114430,9004,Ovine adenovirus 7,,,,,,,
vrl,0,114654,2379,DG-75 Murine leukemia virus,,,,,,,
vrl,0,114921,9258,Beet mosaic virus,,,,,,,
vrl,0,114976,2243,Chimeric human parainfluenza virus rPIV3-2,,,,,,,
vrl,0,11574,1858,Germiston virus,,,,,,,
vrl,0,11575,5754,Maguari virus,,,,,,,
vrl,0,11578,37153,La Crosse virus,,,,,,,
vrl,0,11582,1731,Aino virus,,,,,,,
vrl,0,11583,1135,HoJo virus,,,,,,,
vrl,0,11587,4609,Punta Toro virus,,,,,,,
vrl,0,11588,158096,Rift Valley fever virus,,,,,,,
vrl,0,11590,15214,Toscana virus,,,,,,,
vrl,0,11591,3642,Uukuniemi virus,,,,,,,
vrl,0,11595,7454,Dugbe virus,,,,,,,
vrl,0,11597,5832,Hazara virus,,,,,,,
vrl,0,11598,3017,Hantavirus,,,,,,,
vrl,0,11601,1136,Hantaan virus Lee,,,,,,,
vrl,0,11603,2011,Prospect Hill virus,,,,,,,
vrl,0,116056,2170,Pelargonium zonate spot virus,,,,,,,
vrl,0,11607,1564,Sapporo rat virus,,,,,,,
vrl,0,11619,20598,Junin virus,,,,,,,
vrl,0,11622,33421,Lassa virus,,,,,,,
vrl,0,11627,25000,Lymphocytic choriomeningitis virus,,,,,,,
vrl,0,11628,17219,Machupo virus,,,,,,,
vrl,0,11629,4456,Mopeia virus,,,,,,,
vrl,0,11630,10312,Pichinde virus,,,,,,,
vrl,0,11632,1378,Retroviridae,,,,,,,
vrl,0,11636,4461,Reticuloendotheliosis virus,,,,,,,
vrl,0,11641,9728,Human foamy virus,,,,,,,
vrl,0,11660,10012,Caprine arthritis-encephalitis virus,,,,,,,
vrl,0,11664,10579,Ovine lentivirus,,,,,,,
vrl,0,116759,3660,Glyptapanteles indiensis bracovirus,,,,,,,
vrl,0,11676,6270196,Human immunodeficiency virus 1,,,,,,,
vrl,0,11709,93119,Human immunodeficiency virus 2,,,,,,,
vrl,0,11711,65076,Simian immunodeficiency virus - mac,,,,,,,
vrl,0,117130,57512,Zucchini yellow mosaic virus,,,,,,,
vrl,0,117132,13024,Lettuce mosaic virus,,,,,,,
vrl,0,117198,2405,Rhynchosia golden mosaic virus,,,,,,,
vrl,0,117204,1588,African horse sickness virus 3,,,,,,,
vrl,0,11725,1211,Human T-cell lymphotropic virus type 4,,,,,,,
vrl,0,11741,16568,Visna/Maedi virus,,,,,,,
vrl,0,11746,11302,Jaagsiekte sheep retrovirus,,,,,,,
vrl,0,11760,21387,Mouse mammary tumor virus,,,,,,,
vrl,0,11764,3932,Baboon endogenous virus strain M7,,,,,,,
vrl,0,11780,4351,Feline sarcoma virus,,,,,,,
vrl,0,11783,1504,Friend mink cell focus-forming virus,,,,,,,
vrl,0,11788,2340,Abelson murine leukemia virus,,,,,,,
vrl,0,11791,3631,AKR (endogenous) murine leukemia virus,,,,,,,
vrl,0,11798,8791,Friend murine leukemia virus,,,,,,,
vrl,0,11801,8115,Moloney murine leukemia virus,,,,,,,
vrl,0,118027,1708,Nelson Bay orthoreovirus,,,,,,,
vrl,0,118140,50752,Porcine teschovirus,,,,,,,
vrl,0,11824,2284,Gardner-Arnstein feline leukemia oncovirus B,,,,,,,
vrl,0,11827,2268,Human endogenous retrovirus,,,,,,,
vrl,0,11834,5160,RD114 retrovirus,,,,,,,
vrl,0,11837,1290,Xenotropic murine leukemia virus,,,,,,,
vrl,0,11840,8065,Gibbon ape leukemia virus,,,,,,,
vrl,0,11855,6042,Mason-Pfizer monkey virus,,,,,,,
vrl,0,11857,2207,Squirrel monkey retrovirus-H,,,,,,,
vrl,0,11864,15737,Avian leukosis virus,,,,,,,
vrl,0,118655,14472,Oropouche virus,,,,,,,
vrl,0,11866,1776,Avian myeloblastosis virus,,,,,,,
vrl,0,11867,2628,Avian myelocytomatosis virus,,,,,,,
vrl,0,11874,1080,Avian retrovirus IC10,,,,,,,
vrl,0,11885,2366,Fujinami sarcoma virus,,,,,,,
vrl,0,11888,1956,Rous sarcoma virus - Prague C,,,,,,,
vrl,0,11907,15078,Bovine leukemia virus,,,,,,,
vrl,0,11908,92398,Human T-lymphotropic virus 1,,,,,,,
vrl,0,11909,19696,Human T-lymphotropic virus 2,,,,,,,
vrl,0,119102,1244,Indian peanut clump virus L,,,,,,,
vrl,0,119103,1269,Indian peanut clump virus H,,,,,,,
vrl,0,119104,1466,Indian peanut clump virus D,,,,,,,
vrl,0,119222,3990,Pestivirus giraffe-1 H138,,,,,,,
vrl,0,11938,1216,Rauscher murine leukemia virus,,,,,,,
vrl,0,11942,1906,Simian retrovirus 1,,,,,,,
vrl,0,11950,1330,Rous-associated virus type 1,,,,,,,
vrl,0,11958,1265,Avian carcinoma virus,,,,,,,
vrl,0,11961,2195,Lymphoproliferative disease virus,,,,,,,
vrl,0,11963,7995,Human spumaretrovirus,,,,,,,
vrl,0,119755,1459,Pig-tailed macaque parvovirus,,,,,,,
vrl,0,119756,1505,Rhesus macaque parvovirus,,,,,,,
vrl,0,11977,32672,Rabbit hemorrhagic disease virus,,,,,,,
vrl,0,11982,5177,San Miguel sea lion virus,,,,,,,
vrl,0,11986,20968,Carnation mottle virus,,,,,,,
vrl,0,11987,24817,Melon necrotic spot virus,,,,,,,
vrl,0,11988,3342,Turnip crinkle virus,,,,,,,
vrl,0,119910,5106,Ryegrass mottle virus,,,,,,,
vrl,0,120087,2198,A-2 plaque virus,,,,,,,
vrl,0,120168,1542,Bhendi yellow vein mosaic virus,,,,,,,
vrl,0,12038,4226,Barley yellow dwarf virus - MAV,,,,,,,
vrl,0,120381,2472,Human papillomavirus - cand87,,,,,,,
vrl,0,12040,63576,Barley yellow dwarf virus - PAV,,,,,,,
vrl,0,12041,2871,Bean leafroll virus,,,,,,,
vrl,0,12044,6278,Beet western yellows virus,,,,,,,
vrl,0,12048,36057,Potato leafroll virus,,,,,,,
vrl,0,12049,6743,Soybean dwarf virus,,,,,,,
vrl,0,120499,1026,Salem virus,,,,,,,
vrl,0,120505,3967,Baboon cytomegalovirus,,,,,,,
vrl,0,12055,2324,Tobacco necrosis virus A,,,,,,,
vrl,0,12056,2788,Tobacco necrosis virus D,,,,,,,
vrl,0,12060,4408,Human echovirus 9,,,,,,,
vrl,0,12062,6576,Human echovirus 6,,,,,,,
vrl,0,12063,6542,Human parechovirus 1,,,,,,,
vrl,0,12065,17380,Bovine enterovirus,,,,,,,
vrl,0,12068,2202,Human coxsackievirus A9,,,,,,,
vrl,0,120686,10103,Human papillomavirus type 71,,,,,,,
vrl,0,12070,6623,Human coxsackievirus A21,,,,,,,
vrl,0,12071,10915,Human coxsackievirus B1,,,,,,,
vrl,0,12072,24325,Human coxsackievirus B3,,,,,,,
vrl,0,12073,8736,Human coxsackievirus B4,,,,,,,
vrl,0,12074,6558,Human coxsackievirus B5,,,,,,,
vrl,0,12077,10929,Swine vesicular disease virus,,,,,,,
vrl,0,12078,19764,Human echovirus 11,,,,,,,
vrl,0,12080,75135,Human poliovirus 1,,,,,,,
vrl,0,12081,2210,Human poliovirus 1 Mahoney,,,,,,,
vrl,0,12082,2210,Human poliovirus 1 strain Sabin,,,,,,,
vrl,0,12083,59613,Human poliovirus 2,,,,,,,
vrl,0,12086,15449,Human poliovirus 3,,,,,,,
vrl,0,12106,27514,Encephalomyocarditis virus,,,,,,,
vrl,0,12107,4588,Mengo virus,,,,,,,
vrl,0,12111,114359,Foot-and-mouth disease virus - type A,,,,,,,
vrl,0,12116,33863,Foot-and-mouth disease virus - type C,,,,,,,
vrl,0,12118,170308,Foot-and-mouth disease virus - type O,,,,,,,
vrl,0,12121,4656,Foot-and-mouth disease virus C1,,,,,,,
vrl,0,12122,21061,Foot-and-mouth disease virus - type SAT 1,,,,,,,
vrl,0,12123,9344,Foot-and-mouth disease virus - type SAT 3,,,,,,,
vrl,0,12127,13075,Theiler's encephalomyelitis virus,,,,,,,
vrl,0,12129,2158,Human rhinovirus 1B,,,,,,,
vrl,0,12130,2151,Human rhinovirus 2,,,,,,,
vrl,0,12131,4360,Human rhinovirus 14,,,,,,,
vrl,0,12132,2165,Human rhinovirus 89,,,,,,,
vrl,0,12135,2150,Human rhinovirus 23,,,,,,,
vrl,0,12136,1772,Cricket paralysis virus,,,,,,,
vrl,0,12138,3229,Maize chlorotic mottle virus,,,,,,,
vrl,0,12139,6034,Southern bean mosaic virus,,,,,,,
vrl,0,12142,3009,Artichoke mottled crinkle virus,,,,,,,
vrl,0,121429,1146,Olive latent ringspot virus,,,,,,,
vrl,0,12143,1861,Cucumber necrosis virus,,,,,,,
vrl,0,12144,2239,Cymbidium ringspot virus,,,,,,,
vrl,0,12151,2868,Eggplant mosaic virus,,,,,,,
vrl,0,12152,2393,Erysimum latent virus,,,,,,,
vrl,0,12153,2568,Ononis yellow mosaic virus,,,,,,,
vrl,0,12161,19812,Beet yellows virus,,,,,,,
vrl,0,12165,33896,Chrysanthemum virus B,,,,,,,
vrl,0,12170,14236,Potato virus S,,,,,,,
vrl,0,12172,1778,Shallot latent virus,,,,,,,
vrl,0,12173,20407,Lily symptomless virus,,,,,,,
vrl,0,12177,1734,Clover yellow mosaic virus,,,,,,,
vrl,0,12179,3921,Foxtail mosaic virus,,,,,,,
vrl,0,121791,47623,Nipah virus,,,,,,,
vrl,0,12180,2446,Narcissus mosaic virus,,,,,,,
vrl,0,12181,3674,Papaya mosaic virus,,,,,,,
vrl,0,12182,2389,Potato aucuba mosaic virus,,,,,,,
vrl,0,12187,10892,Strawberry mild yellow edge virus,,,,,,,
vrl,0,12190,4417,White clover mosaic virus,,,,,,,
vrl,0,12194,3126,Lily virus X,,,,,,,
vrl,0,12196,16074,Bean common mosaic virus,,,,,,,
vrl,0,12197,15996,Bean yellow mosaic virus,,,,,,,
vrl,0,12198,3073,Clover yellow vein virus,,,,,,,
vrl,0,12199,3422,Cowpea aphid-borne mosaic virus,,,,,,,
vrl,0,12203,6363,Maize dwarf mosaic virus,,,,,,,
vrl,0,12206,6686,Papaya ringspot virus P,,,,,,,
vrl,0,12207,6691,Papaya ringspot virus W,,,,,,,
vrl,0,12210,3078,Pepper severe mosaic virus,,,,,,,
vrl,0,12215,25269,Potato virus A,,,,,,,
vrl,0,12217,3063,Potato virus Y strain C,,,,,,,
vrl,0,12219,9186,Potato virus Y strain N,,,,,,,
vrl,0,12220,3062,Potato virus Y strain O,,,,,,,
vrl,0,122203,4943,Fer-de-lance virus,,,,,,,
vrl,0,12223,3067,Soybean mosaic virus N,,,,,,,
